,,,,,,,
,,,,,,,
,,STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
,,244,CMV,CTCP Thương nghiệp Cà Mau,Phân phối và bán lẻ hàng lâu bền,HOSE,"18,155,868"
,,245,CMW,CTCP Cấp nước Cà Mau,Dịch vụ tiện ích,UPCoM,"15,534,900"
,,246,CMX,CTCP Camimex Group,"Thực phẩm, đồ uống và thuốc lá",HOSE,"101,898,990"
,,247,CNA,CTCP Tổng Công ty Chè Nghệ An,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"793,917"
,,248,CNC,CTCP Công nghệ Cao Traphaco,Phân phối và bán lẻ hàng lâu bền,UPCoM,"11,364,325"
,,249,CNG,CTCP CNG Việt Nam,Dịch vụ tiện ích,HOSE,"35,099,625"
,,250,CNN,CTCP Tư vấn Công nghệ Thiết bị và Kiểm Định Xây dựng - Coninco,Dịch vụ chuyên biệt và thương mại,UPCoM,"8,800,000"
,,251,CNT,CTCP Tập đoàn CNT,Phân phối và bán lẻ hàng lâu bền,UPCoM,"50,392,785"
,,252,COM,CTCP Vật tư Xăng Dầu,Phân phối và bán lẻ hàng lâu bền,HOSE,"14,120,628"
,,253,CPA,CTCP Cà phê Phước An,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"23,627,990"
,,254,CPC,CTCP Thuốc sát trùng Cần Thơ,Nguyên vật liệu,HNX,"4,303,050"
,,255,CPH,CTCP Phục vụ Mai táng Hải Phòng,Dịch vụ tiêu dùng,UPCoM,"4,400,000"
,,256,CPI,CTCP Đầu tư Cảng Cái Lân,Vận tải,UPCoM,"36,505,000"
,,257,CQN,CTCP Cảng Quảng Ninh,Vận tải,UPCoM,"75,049,936"
,,258,CQT,CTCP Xi măng Quán Triều VVMI,Nguyên vật liệu,UPCoM,"25,000,000"
,,259,CRC,CTCP Create Capital Việt Nam,Nguyên vật liệu,HOSE,"60,000,000"
,,260,CRE,CTCP Bất động sản Thế Kỷ,Phát triển và quản lý bất động sản,HOSE,"463,678,534"
,,261,CSC,CTCP Tập đoàn COTANA,Phát triển và quản lý bất động sản,HNX,"37,408,982"
,,262,CSI,CTCP Chứng khoán Kiến thiết Việt Nam,Dịch vụ tài chính,UPCoM,"16,800,000"
,,263,CSM,CTCP Công nghiệp Cao su Miền Nam,Xe và linh kiện,HOSE,"103,626,467"
,,264,CST,CTCP Than Cao Sơn - TKV,Năng lượng,UPCoM,"42,846,773"
,,265,CSV,CTCP Hóa chất Cơ bản Miền Nam,Nguyên vật liệu,HOSE,"110,499,910"
,,266,CT3,CTCP Đầu tư và Xây dựng Công trình 3,Tư liệu sản xuất,UPCoM,"8,799,849"
,,267,CT6,CTCP Công trình 6,Tư liệu sản xuất,UPCoM,"6,108,078"
,,268,CTA,CTCP Vinavico,Nguyên vật liệu,UPCoM,"8,454,381"
,,269,CTB,CTCP Chế tạo Bơm Hải Dương,Tư liệu sản xuất,HNX,"13,680,000"
,,270,CTC,CTCP Tập đoàn Hoàng Kim Tây Nguyên,Dịch vụ tiêu dùng,HNX,"15,799,926"
,,271,CTD,CTCP Xây dựng Coteccons,Tư liệu sản xuất,HOSE,"103,633,261"
,,272,CTF,CTCP City Auto,Phân phối và bán lẻ hàng lâu bền,HOSE,"89,396,463"
,,273,CTG,Ngân hàng TMCP Công Thương Việt Nam,Tổ chức tín dụng,HOSE,"5,369,991,748"
,,274,CTI,CTCP Đầu tư Phát triển Cường Thuận IDICO,Tư liệu sản xuất,HOSE,"62,999,997"
,,275,CTN,CTCP Xây dựng Công trình ngầm,Tư liệu sản xuất,UPCoM,"6,958,345"
,,276,CTP,CTCP Minh Khang Capital Trading Public,"Thực phẩm, đồ uống và thuốc lá",HNX,"12,099,992"
,,277,CTR,Tổng Công ty cổ phần Công trình Viettel,Dịch vụ viễn thông,HOSE,"114,385,879"
,,278,CTS,CTCP Chứng khoán Ngân hàng Công thương Việt Nam,Dịch vụ tài chính,HOSE,"148,738,311"
,,279,CTT,CTCP Chế tạo Máy - Vinacomin,Tư liệu sản xuất,HNX,"4,697,351"
,,280,CTW,CTCP Cấp thoát nước Cần Thơ,Dịch vụ tiện ích,UPCoM,"28,000,000"
,,281,CTX,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,Tư liệu sản xuất,UPCoM,"78,907,276"
,,282,CVN,CTCP Vinam,"Thực phẩm, đồ uống và thuốc lá",HNX,"29,699,991"
,,283,CVT,CTCP CMC,Nguyên vật liệu,HOSE,"36,690,887"
,,284,CX8,CTCP Đầu tư và Xây lắp Constrexim Số 8,Tư liệu sản xuất,HNX,"2,553,771"
,,285,CYC,CTCP Gạch men Chang Yih,Nguyên vật liệu,UPCoM,"1,990,530"
,,286,D11,CTCP Địa ốc 11,Phát triển và quản lý bất động sản,HNX,"7,338,138"
,,287,D17,CTCP Đồng Tân,Phân phối và bán lẻ hàng lâu bền,UPCoM,"5,259,700"
,,288,D2D,CTCP Phát triển Đô thị Công nghiệp số 2,Phát triển và quản lý bất động sản,HOSE,"30,304,758"
,,289,DAC,CTCP 382 Đông Anh,Nguyên vật liệu,UPCoM,"1,004,974"
,,290,DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng,Truyền thông và giải trí,HNX,"5,000,000"
,,291,DAE,CTCP Sách Giáo dục tại Thành phố Đà Nẵng,Truyền thông và giải trí,HNX,"1,925,658"
,,292,DAH,CTCP Tập đoàn Khách sạn Đông Á,Dịch vụ tiêu dùng,HOSE,"84,200,000"
,,293,DAN,CTCP Dược Danapha,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"20,938,000"
,,294,DAS,CTCP Máy - Thiết bị Dầu khí Đà Nẵng,Phân phối và bán lẻ hàng lâu bền,UPCoM,"4,200,000"
,,295,DAT,CTCP Đầu tư du lịch và Phát triển Thủy sản,"Thực phẩm, đồ uống và thuốc lá",HOSE,"69,228,341"
,,296,DBC,CTCP Tập đoàn Dabaco Việt Nam,"Thực phẩm, đồ uống và thuốc lá",HOSE,"334,669,145"
,,297,DBD,CTCP Dược - Trang thiết bị Y tế Bình Định (BIDIPHAR),"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,"93,593,847"
,,298,DBM,CTCP Dược - Vật tư Y Tế Đăk Lăk,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"1,941,588"
,,299,DBT,CTCP Dược phẩm Bến Tre,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,"18,610,650"
,,300,DC1,CTCP Đầu tư Phát triển Xây dựng Số 1,Tư liệu sản xuất,UPCoM,"4,504,337"
,,301,DC2,CTCP Đầu tư - Phát triển - Xây dựng (DIC) Số 2,Tư liệu sản xuất,HNX,"7,556,341"
,,302,DC4,CTCP Xây dựng DIC Holdings,Tư liệu sản xuất,HOSE,"57,749,267"
,,303,DCF,CTCP Xây dựng và Thiết kế Số 1,Tư liệu sản xuất,UPCoM,"30,000,000"
,,304,DCG,CTCP Tổng Công ty May Đáp Cầu,Hàng tiêu dùng và trang trí,UPCoM,"6,825,000"
,,305,DCH,CTCP Địa chính Hà Nội,Dịch vụ chuyên biệt và thương mại,UPCoM,"2,880,000"
,,306,DCL,CTCP Dược phẩm Cửu Long,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,"73,041,030"
,,307,DCM,CTCP Phân bón Dầu khí Cà Mau,Nguyên vật liệu,HOSE,"529,400,000"
,,308,DCR,CTCP Gạch men Cosevco,Nguyên vật liệu,UPCoM,"6,500,000"
,,309,DCS,CTCP Tập đoàn Đại Châu,Hàng tiêu dùng và trang trí,UPCoM,"60,310,988"
,,310,DCT,CTCP Tấm lợp Vật liệu Xây dựng Đồng Nai,Nguyên vật liệu,UPCoM,"27,223,647"
,,311,DDG,CTCP Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,Dịch vụ tiện ích,HNX,"59,839,886"
,,312,DDH,CTCP Đảm bảo Giao thông Đường thủy Hải Phòng,Vận tải,UPCoM,"3,600,000"
,,313,DDM,CTCP Hàng Hải Đông Đô,Vận tải,UPCoM,"12,244,495"
,,314,DDN,CTCP Dược và Thiết bị Y tế Đà Nẵng,Phân phối và bán lẻ hàng lâu bền,UPCoM,"15,349,328"
,,315,DDV,CTCP DAP - VINACHEM,Nguyên vật liệu,UPCoM,"146,109,900"
,,316,DFC,CTCP Xích líp Đông Anh,Nguyên vật liệu,UPCoM,"11,400,000"
,,317,DFF,CTCP Tập đoàn Đua Fat,Tư liệu sản xuất,UPCoM,"80,000,000"
,,318,DGC,CTCP Tập đoàn Hóa chất Đức Giang,Nguyên vật liệu,HOSE,"379,779,286"
,,319,DGT,CTCP Công trình Giao thông Đồng Nai,Tư liệu sản xuất,UPCoM,"79,000,000"
,,320,DGW,CTCP Thế Giới Số,Phân phối và bán lẻ hàng lâu bền,HOSE,"217,320,169"
,,321,DHA,CTCP Hóa An,Nguyên vật liệu,HOSE,"15,119,946"
,,322,DHB,CTCP Phân đạm và Hóa chất Hà Bắc,Nguyên vật liệu,UPCoM,"272,200,000"
,,323,DHC,CTCP Đông Hải Bến Tre,Nguyên vật liệu,HOSE,"80,493,048"
,,324,DHD,CTCP Dược Vật tư Y tế Hải Dương,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"27,947,317"
,,325,DHG,CTCP Dược Hậu Giang,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,"130,746,071"
,,326,DHM,CTCP Thương mại và Khai thác Khoáng sản Dương Hiếu,Nguyên vật liệu,HOSE,"31,396,180"
,,327,DHN,CTCP Dược phẩm Hà Nội,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"6,290,900"
,,328,DHP,CTCP Điện cơ Hải Phòng,Hàng tiêu dùng và trang trí,HNX,"9,492,200"
,,329,DHT,CTCP Dược phẩm Hà Tây,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,"82,341,773"
,,330,DIC,CTCP Đầu tư và Thương mại DIC,Phân phối và bán lẻ hàng lâu bền,UPCoM,"26,585,840"
,,331,DID,CTCP DIC - Đồng Tiến,Nguyên vật liệu,UPCoM,"15,622,552"
,,332,DIG,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng,Phát triển và quản lý bất động sản,HOSE,"609,851,995"
,,333,DIH,CTCP Đầu tư Phát triển Xây dựng - Hội An,Tư liệu sản xuất,HNX,"6,879,164"
,,334,DKC,CTCP Chợ Lạng Sơn,Phát triển và quản lý bất động sản,UPCoM,"2,288,540"
,,335,DL1,CTCP Tập đoàn Alpha Seven,Vận tải,HNX,"106,236,094"
,,336,DLD,CTCP Du lịch Đắk Lắk,Dịch vụ tiêu dùng,UPCoM,"9,307,415"
,,337,DLG,CTCP Tập đoàn Đức Long Gia Lai,Tư liệu sản xuất,HOSE,"299,309,720"
,,338,DLR,CTCP Địa ốc Đà Lạt,Tư liệu sản xuất,UPCoM,"4,500,000"
,,339,DLT,CTCP Du lịch và Thương mại - Vinacomin,Dịch vụ tiêu dùng,UPCoM,"2,500,056"
,,340,DM7,CTCP Dệt May 7,Hàng tiêu dùng và trang trí,UPCoM,"15,411,100"
,,341,DMC,CTCP Xuất nhập khẩu Y Tế Domesco,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,"34,727,465"
,,342,DMN,CTCP Domenal,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"12,500,000"
,,343,DMS,CTCP Hóa phẩm Dầu khí DMC - Miền Nam,Đồ gia dụng và cá nhân,UPCoM,"4,000,000"
,,344,DNA,CTCP Điện Nước An Giang,Dịch vụ tiện ích,UPCoM,"56,329,567"
,,345,DNC,CTCP Điện Nước Lắp máy Hải Phòng,Dịch vụ tiện ích,HNX,"8,027,780"
,,346,DND,CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai,Nguyên vật liệu,UPCoM,"8,834,000"
,,347,DNE,CTCP Môi trường Đô thị Đà Nẵng,Dịch vụ tiện ích,UPCoM,"5,773,600"
,,348,DNH,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Dịch vụ tiện ích,UPCoM,"422,400,000"
,,349,DNL,CTCP Logistics Cảng Đà Nẵng,Vận tải,UPCoM,"4,310,000"
,,350,DNM,Tổng Công ty cổ phần Y tế DANAMECO,Dịch vụ và thiết bị chăm sóc sức khỏe,UPCoM,"5,253,070"
,,351,DNN,CTCP Cấp nước Đà Nẵng,Dịch vụ tiện ích,UPCoM,"57,964,061"
,,352,DNP,CTCP DNP Holding,Nguyên vật liệu,HNX,"140,974,846"
,,353,DNT,CTCP Du lịch Đồng Nai,Dịch vụ tiêu dùng,UPCoM,"7,459,675"
,,354,DNW,CTCP Cấp nước Đồng Nai,Dịch vụ tiện ích,UPCoM,"120,000,000"
,,355,DOC,CTCP Vật tư Nông Nghiệp Đồng Nai,Nguyên vật liệu,UPCoM,"10,000,000"
,,356,DOP,CTCP Vận tải Xăng dầu Đồng Tháp,Vận tải,UPCoM,"4,719,950"
,,357,DP1,CTCP Dược phẩm Trung ương CPC1,Phân phối và bán lẻ hàng lâu bền,UPCoM,"20,979,000"
,,358,DP2,CTCP Dược phẩm Trung ương 2,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"20,000,000"
,,359,DP3,CTCP Dược phẩm Trung ương 3,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,"21,499,933"
,,360,DPC,CTCP Nhựa Đà Nẵng,Nguyên vật liệu,UPCoM,"2,237,280"
,,361,DPG,CTCP Tập đoàn Đạt Phương,Tư liệu sản xuất,HOSE,"62,999,554"
,,362,DPH,CTCP Dược phẩm Hải Phòng,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"3,000,000"
,,363,DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Nguyên vật liệu,HOSE,"391,400,000"
,,364,DPP,CTCP Dược Đồng Nai,Phân phối và bán lẻ hàng lâu bền,UPCoM,"3,000,010"
,,365,DPR,CTCP Cao su Đồng Phú,Nguyên vật liệu,HOSE,"86,885,932"
,,366,DPS,CTCP Đầu tư Phát triển Sóc Sơn,Phân phối và bán lẻ hàng lâu bền,UPCoM,"31,085,257"
,,367,DQC,CTCP Tập đoàn Điện Quang,Hàng tiêu dùng và trang trí,HOSE,"34,359,416"
,,368,DRC,CTCP Cao su Đà Nẵng,Xe và linh kiện,HOSE,"118,792,605"
,,369,DRG,CTCP Cao su Đắk Lắk,Nguyên vật liệu,UPCoM,"1,658,400"
,,370,DRH,CTCP DRH Holdings,Phát triển và quản lý bất động sản,HOSE,"124,353,866"
,,371,DRI,CTCP Đầu tư Cao su Đắk Lắk,Nguyên vật liệu,UPCoM,"73,200,000"
,,372,DRL,CTCP Thủy điện - Điện Lực 3,Dịch vụ tiện ích,HOSE,"9,500,000"
,,373,DS3,CTCP Quản lý Đường sông Số 3,Vận tải,HNX,"10,669,730"
,,374,DSD,CTCP DHC Suối Đôi,Dịch vụ tiêu dùng,UPCoM,"36,600,000"
,,375,DSE,CTCP Chứng khoán DNSE,Dịch vụ tài chính,HOSE,"330,000,000"
,,376,DSG,CTCP Kính Đáp Cầu,Hàng tiêu dùng và trang trí,UPCoM,"30,000,000"
,,377,DSN,CTCP Công viên nước Đầm Sen,Dịch vụ tiêu dùng,HOSE,"12,083,009"
,,378,DSP,CTCP Dịch vụ Du lịch Phú Thọ,Dịch vụ tiêu dùng,UPCoM,"118,684,000"
,,379,DST,CTCP Đầu tư Sao Thăng Long,Truyền thông và giải trí,HNX,"32,300,000"
,,380,DTA,CTCP Đệ Tam,Phát triển và quản lý bất động sản,HOSE,"18,059,832"
,,381,DTB,CTCP Công trình Đô thị Bảo Lộc,Dịch vụ chuyên biệt và thương mại,UPCoM,"1,558,248"
,,382,DTC,CTCP Viglacera Đông Triều,Nguyên vật liệu,HNX,"10,000,000"
,,383,DTD,CTCP Đầu tư Phát triển Thành Đạt,Phát triển và quản lý bất động sản,HNX,"56,745,285"
,,384,DTE,CTCP Đầu tư Năng lượng Đại Trường Thành Holdings,Dịch vụ tiện ích,UPCoM,"50,725,887"
,,385,DTG,CTCP Dược phẩm Tipharco,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,"8,352,573"
,,386,DTH,CTCP Dược Vật tư Y Tế Thanh Hóa,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"7,471,614"
,,387,DTI,CTCP Đầu tư Đức Trung,Phát triển và quản lý bất động sản,UPCoM,"13,488,800"
,,388,DTK,Tổng Công ty Điện lực TKV - CTCP,Dịch vụ tiện ích,HNX,"682,767,475"
,,389,DTL,CTCP Đại Thiên Lộc,Nguyên vật liệu,HOSE,"61,435,604"
,,390,DTP,CTCP Dược phẩm CPC1 Hà Nội,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"16,229,042"
,,391,DTT,CTCP Kỹ nghệ Đô Thành,Nguyên vật liệu,HOSE,"8,151,820"
,,392,DUS,CTCP Dịch vụ Đô thị Đà Lạt,Dịch vụ chuyên biệt và thương mại,UPCoM,"5,614,300"
,,393,DVC,CTCP Thương mại Dịch vụ Tổng hợp Cảng Hải Phòng,Phân phối và bán lẻ hàng lâu bền,UPCoM,"10,793,670"
,,394,DVG,CTCP Đại Việt Group DVG,Nguyên vật liệu,UPCoM,"28,000,000"
,,395,DVM,CTCP Dược liệu Việt Nam,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,"42,779,916"
,,396,DVN,Tổng Công ty Dược Việt Nam - CTCP,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"237,000,000"
,,397,DVP,CTCP Đầu tư và Phát triển Cảng Đình Vũ,Vận tải,HOSE,"40,000,000"
,,398,DVW,CTCP Dịch vụ và Xây dựng Cấp nước Đồng Nai,Tư liệu sản xuất,UPCoM,"2,345,000"
,,399,DWC,CTCP Cấp nước Đắk Lắk,Dịch vụ tiện ích,UPCoM,"20,172,800"
,,400,DWS,CTCP Cấp nước và Môi trường đô thị Đồng Tháp,Dịch vụ tiện ích,UPCoM,"25,918,130"
,,401,DXG,CTCP Tập đoàn Đất Xanh,Phát triển và quản lý bất động sản,HOSE,"722,450,921"
,,402,DXL,CTCP Du Lịch và Xuất nhập khẩu Lạng Sơn,Dịch vụ tiêu dùng,UPCoM,"3,957,900"
,,403,DXP,CTCP Cảng Đoạn Xá,Vận tải,HNX,"59,910,133"
,,404,DXS,CTCP Dịch vụ Bất động sản Đất Xanh,Phát triển và quản lý bất động sản,HOSE,"579,103,124"
,,405,DXV,CTCP VICEM Vật liệu Xây dựng Đà Nẵng,Nguyên vật liệu,HOSE,"9,900,000"
,,406,DZM,CTCP Cơ điện Dzĩ An,Tư liệu sản xuất,UPCoM,"5,395,985"
,,407,E12,CTCP Xây dựng Điện VNECO12,Tư liệu sản xuất,UPCoM,"1,200,000"
,,408,E1VFVN30,Quỹ ETF DCVFMVN30,Dịch vụ tài chính,HOSE,"303,900,000"
,,409,E29,CTCP Đầu tư Xây dựng và Kỹ thuật 29,Tư liệu sản xuất,UPCoM,"5,000,000"
,,410,EBS,CTCP Sách Giáo dục tại Thành phố Hà Nội,Truyền thông và giải trí,HNX,"10,219,484"
,,411,ECI,CTCP Tập Đoàn ECI,Truyền thông và giải trí,HNX,"1,860,000"
,,412,ECO,CTCP Nhựa sinh thái Việt Nam,Nguyên vật liệu,UPCoM,"20,000,000"
,,413,EFI,CTCP Đầu tư Tài chính Giáo dục,Dịch vụ tài chính,UPCoM,"10,880,000"
,,414,EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Tổ chức tín dụng,HOSE,"1,868,810,607"
,,415,EIC,CTCP EVN Quốc tế,Dịch vụ tiện ích,UPCoM,"36,677,145"
,,416,EID,CTCP Đầu tư và Phát triển Giáo dục Hà Nội,Truyền thông và giải trí,HNX,"15,000,000"
,,417,EIN,CTCP Đầu tư - Thương mại - Dịch vụ Điện Lực,Dịch vụ tiêu dùng,UPCoM,"45,407,161"
,,418,ELC,CTCP Công Nghệ - Viễn Thông Elcom,Dịch vụ viễn thông,HOSE,"83,290,077"
,,419,EME,CTCP Điện cơ,Nguyên vật liệu,UPCoM,"3,780,298"
,,420,EMG,CTCP Thiết bị Phụ Tùng Cơ Điện,Tư liệu sản xuất,UPCoM,"3,000,000"
,,421,EMS,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP,Vận tải,UPCoM,"20,999,440"
,,422,EPC,CTCP Cà phê Ea Pốk,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"9,388,500"
,,423,EPH,CTCP Dịch vụ Xuất bản Giáo dục Hà Nội,Truyền thông và giải trí,UPCoM,"2,500,000"
,,424,EVE,CTCP Everpia,Hàng tiêu dùng và trang trí,HOSE,"41,979,773"
,,425,EVF,Công ty Tài chính Cổ phần Điện lực,Tổ chức tín dụng,HOSE,"704,248,289"
,,426,EVG,CTCP Tập đoàn EverLand,Phát triển và quản lý bất động sản,HOSE,"215,249,836"
,,427,EVS,CTCP Chứng khoán Everest,Dịch vụ tài chính,HNX,"164,800,618"
,,428,FBA,CTCP Tập đoàn Quốc tế FBA,Phân phối và bán lẻ hàng lâu bền,UPCoM,"3,414,900"
,,429,FBC,CTCP Cơ khí Phổ Yên,Xe và linh kiện,UPCoM,"3,700,000"
,,430,FCC,CTCP Liên hợp Thực phẩm,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"5,997,040"
,,431,FCM,CTCP Khoáng sản FECON,Nguyên vật liệu,HOSE,"45,099,969"
,,432,FCN,CTCP FECON,Tư liệu sản xuất,HOSE,"157,439,005"
,,433,FCS,CTCP Lương thực Thành phố Hồ Chí Minh,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"29,450,000"
,,434,FDC,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Phát triển và quản lý bất động sản,HOSE,"38,629,988"
,,435,FGL,CTCP Cà phê Gia Lai,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"14,676,300"
,,436,FHN,CTCP Xuất nhập khẩu Lương thực Thực phẩm Hà Nội,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"3,000,000"
,,437,FHS,CTCP Phát hành Sách Thành phố Hồ Chí Minh,Phân phối và bán lẻ hàng lâu bền,UPCoM,"12,751,462"
,,438,FIC,Tổng Công ty Vật liệu Xây dựng số 1 - CTCP,Nguyên vật liệu,UPCoM,"127,000,000"
,,439,FID,CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam,Phân phối và bán lẻ hàng lâu bền,HNX,"24,715,958"
,,440,FIR,CTCP Địa ốc First Real,Phát triển và quản lý bất động sản,HOSE,"64,245,281"
,,441,FIT,CTCP Tập đoàn F.I.T,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,"339,933,034"
,,442,FLC,CTCP Tập đoàn FLC,Phát triển và quản lý bất động sản,UPCoM,"709,997,807"
,,443,FMC,CTCP Thực phẩm Sao Ta,"Thực phẩm, đồ uống và thuốc lá",HOSE,"65,388,889"
,,444,FOC,CTCP Dịch vụ Trực tuyến FPT,Dịch vụ viễn thông,UPCoM,"18,471,275"
,,445,FOX,CTCP Viễn thông FPT,Dịch vụ viễn thông,UPCoM,"492,509,164"
,,446,FPT,CTCP FPT,Phần mềm và dịch vụ,HOSE,"1,460,448,066"
,,447,FRC,CTCP Lâm đặc sản Xuất khẩu Quảng Nam,Nguyên vật liệu,UPCoM,"3,000,000"
,,448,FRM,CTCP Lâm Nghiệp Sài Gòn,Nguyên vật liệu,UPCoM,"11,700,000"
,,449,FRT,CTCP Bán lẻ Kỹ thuật số FPT,Phân phối và bán lẻ hàng lâu bền,HOSE,"136,242,389"
,,450,FSO,CTCP Cơ khí đóng tàu Thủy sản Việt Nam,Tư liệu sản xuất,UPCoM,"5,624,966"
,,451,FT1,CTCP Phụ tùng Máy số 1,Tư liệu sản xuất,UPCoM,"7,079,853"
,,452,FTI,CTCP Công nghiệp - Thương mại Hữu Nghị,Phát triển và quản lý bất động sản,UPCoM,"3,943,710"
,,453,FTM,CTCP Đầu tư và Phát triển Đức Quân,Hàng tiêu dùng và trang trí,UPCoM,"50,000,000"
,,454,FTS,CTCP Chứng khoán FPT,Dịch vụ tài chính,HOSE,"305,919,366"
,,455,FUCTVGF3,Quỹ Đầu tư Tăng trưởng Thiên Việt 3,Dịch vụ tài chính,HOSE,"19,900,800"
,,456,FUCTVGF4,Quỹ Đầu tư Tăng trưởng Thiên Việt 4,Dịch vụ tài chính,HOSE,"20,060,000"
,,457,FUCTVGF5,Quỹ đầu tư tăng trưởng Thiên Việt 5,Dịch vụ tài chính,HOSE,"17,280,000"
,,458,FUCVREIT,Quỹ đầu tư Bất động sản Techcom Việt Nam,Dịch vụ tài chính,HOSE,"5,000,000"
,,459,FUEABVND,Chứng chỉ Quỹ ETF ABFVN DIAMOND,Dịch vụ tài chính,HOSE,"5,300,000"
,,460,FUEBFVND,Chứng chỉ Quỹ ETF BVFVN DIAMOND,Dịch vụ tài chính,HOSE,"4,000,000"
,,461,FUEDCMID,Chứng chỉ Quỹ ETF DCVFMVNMIDCAP,Dịch vụ tài chính,HOSE,"30,500,000"
,,462,FUEFCV50,Chứng chỉ Quỹ ETF FPT CAPITAL VNX50,Dịch vụ tài chính,HOSE,"5,700,000"
,,463,FUEIP100,Chứng chỉ Quỹ ETF IPAAM VN100,Dịch vụ tài chính,HOSE,"5,400,000"
,,464,FUEKIV30,Chứng chỉ Quỹ ETF KIM GROWTH VN30,Dịch vụ tài chính,HOSE,"194,300,000"
